Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
14_Spring-master,io.codefountain.spring.todo.security,TodoSecurityConfig,configure,Long Statement,The length of the statement "http.authorizeRequests().antMatchers("/todos").hasAuthority("USER").antMatchers("/todoDelete/*").hasAuthority("ADMIN").antMatchers(HttpMethod.POST`"/todo*").hasAuthority("ADMIN").and().formLogin().and().rememberMe();" is 216.,38
14_Spring-master,io.codefountain.spring.swagger2.config,AppConfig,api,Long Statement,The length of the statement "return new Docket(DocumentationType.SWAGGER_2).select().apis(RequestHandlerSelectors.any()).paths(PathSelectors.any()).build();" is 127.,16
14_Spring-master,io.codefountain.spring.movieapp.errors,EntityNotFoundException,toMap,Long Statement,The length of the statement "return IntStream.range(0`entries.length / 2).map(i -> i * 2).collect(HashMap::new`(m`i) -> m.put(keyType.cast(entries[i])`valueType.cast(entries[i + 1]))`Map::putAll);" is 167.,21
14_Spring-master,io.codefountain.spring.movieapp.errors,EntityNotFoundException,toMap,Magic Number,The method contains a magic number: 2,21
14_Spring-master,io.codefountain.spring.movieapp.errors,EntityNotFoundException,toMap,Magic Number,The method contains a magic number: 2,21
14_Spring-master,io.codefountain.spring.movieapp.errors,EntityNotFoundException,toMap,Magic Number,The method contains a magic number: 2,21
14_Spring-master,io.codefountain.spring.movieapp.glee,GleeController,search,Long Parameter List,The method has 9 parameters. ,54
14_Spring-master,io.codefountain.spring.movieapp.glee,GleeRepositoryCustom,filter,Long Parameter List,The method has 8 parameters. ,13
14_Spring-master,io.codefountain.spring.movieapp.glee,GleeRepositoryCustomImpl,filter,Long Parameter List,The method has 8 parameters. ,29
14_Spring-master,io.codefountain.spring.movieapp.glee,GleeRepositoryCustomImpl,filter,Long Statement,The length of the statement "query+=" order by " + p.getSort().get().map(o -> o.getProperty() + " " + o.getDirection()).collect(Collectors.joining("`"));" is 124.,29
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initUsers,Magic Number,The method contains a magic number: 1000,42
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Long Statement,The length of the statement "String text="This " + timeOfDay[(int)(((time.getHour() + 18) % 24) * timeOfDay.length / 24.0)] + " the "+ nouns[rnd(nouns.length)]+ " is "+ verbs[rnd(verbs.length)]+ " and I'm feeling "+ feelings[(int)(value / 1000)];" is 217.,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 100,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 10_000L,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 10_000,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 24,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 3600,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 1000,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 18,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 24,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 24.0,56
14_Spring-master,io.codefountain.spring.movieapp.glee,LoadDatabase,initGlee,Magic Number,The method contains a magic number: 1000,56
14_Spring-master,io.codefountain.spring.movieapp.security,OauthConfiguration,configure,Long Statement,The length of the statement "clients.inMemory().withClient(clientId).secret(passwordEncoder.encode(clientSecret)).accessTokenValiditySeconds(accessTokenValidatySeconds).refreshTokenValiditySeconds(refreshTokenValiditySeconds).authorizedGrantTypes(authorizedGrantTypes).scopes("read"`"write").resourceIds("api");" is 282.,47
14_Spring-master,io.codefountain.spring.movieapp.security,OauthConfiguration,configure,Long Statement,The length of the statement "endpoints.accessTokenConverter(accessTokenConverter()).userDetailsService(userDetailsService).authenticationManager(authenticationManager);" is 139.,59
14_Spring-master,io.codefountain.spring.movieapp.security,ServerSecurityConfig,ServerSecurityConfig,Long Identifier,The length of the parameter customAuthenticationEntryPoint is 30.,28
14_Spring-master,io.codefountain.spring.movieapp.security,ServerSecurityConfig,ServerSecurityConfig,Long Identifier,The length of the field customAuthenticationEntryPoint is 30.,28
14_Spring-master,io.codefountain.spring.movieapp.security,UserService,loadUserByUsername,Long Statement,The length of the statement "return new org.springframework.security.core.userdetails.User(user.getEmail()`user.getPassword()`Arrays.asList(authority));" is 123.,22
14_Spring-master,io.codefountain.spring.movieapp.users,UserController,update,Long Statement,The length of the statement "User localUser=userRepository.findById(id).orElseThrow(() -> new EntityNotFoundException(User.class`"id"`id.toString()));" is 121.,81
14_Spring-master,io.codefountain.spring.movieapp.users,UserController,update,Complex Conditional,The conditional expression oldPassword == null || oldPassword.isEmpty() || passwordEncoder.matches(oldPassword`localUser.getPassword()) is complex.,108
14_Spring-master,io.codefountain.spring.movieapp.users,UserController,update,Long Statement,The length of the statement "User localUser=userRepository.findById(id).orElseThrow(() -> new EntityNotFoundException(User.class`"id"`id.toString()));" is 121.,108
14_Spring-master,io.codefountain.spring.movieapp.users,UserController,update,Magic Number,The method contains a magic number: 3,108
