Project Name,Package Name,Architecture Smell,Cause of the Smell
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network.exeption,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network.exeption; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data.remote
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network.exeption,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network.exeption; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data.remote
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network.exeption,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApiError; NetworkErrorUtils; Loader; NoNetworkException; InternalAppException]; [ApiErrorException]; [ServiceError]. LCC (Lack of Component Cohesion) = 0.43
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single, general entry-point via the following class: RestClient
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.network,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NetworkContract; RestClient]; [Base]; [Etsy]; [ListingsAPIReference]; [CategoryAPIReference]; [CategoryParam]; [ProductParam]; [LanguageParam]. LCC (Lack of Component Cohesion) = 0.89
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity; ProgressDialog; ProgressView; BaseFragment; BaseView; SnackBar; SnackBarHelper]; [BaseListAdapter]; [BasePresenter]; [BaseViewPagerAdapter; FragmentInfoContainer]; [SimpleFragment]. LCC (Lack of Component Cohesion) = 0.42
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.products_list,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.products_list; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.products_list,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.products_list; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
