Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.addedittask,AddEditTaskActivity,onCreate,Long Statement,The length of the statement "mAddEditTaskPresenter=new AddEditTaskPresenter(taskId`Injection.provideTasksRepository(getApplicationContext())`addEditTaskFragment`shouldLoadDataFromRepo);" is 156.,45
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.addedittask,AddEditTaskActivity,onSaveInstanceState,Long Identifier,The length of the field SHOULD_LOAD_DATA_FROM_REPO_KEY is 30.,101
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsScreenTest,Tasks_ShowsNonEmptyMessage,Long Statement,The length of the statement "String expectedCompletedTaskText=InstrumentationRegistry.getTargetContext().getString(R.string.statistics_completed_tasks);" is 123.,103
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsActivity,onCreate,Long Statement,The length of the statement "StatisticsFragment statisticsFragment=(StatisticsFragment)getSupportFragmentManager().findFragmentById(R.id.contentFrame);" is 122.,40
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsActivity,setupDrawerContent,Missing default,The following switch statement is missing a default case: switch (menuItem.getItemId()) {,85
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsActivity,onNavigationItemSelected,Missing default,The following switch statement is missing a default case: switch (menuItem.getItemId()) {,88
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsFragment,showStatistics,Long Statement,The length of the statement "String displayString=getResources().getString(R.string.statistics_active_tasks) + " " + numberOfIncompleteTasks+ "\n"+ getResources().getString(R.string.statistics_completed_tasks)+ " "+ numberOfCompletedTasks;" is 210.,74
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsPresenterTest,setupStatisticsPresenter,Long Statement,The length of the statement "TASKS=Lists.newArrayList(new Task("Title1"`"Description1")`new Task("Title2"`"Description2"`true)`new Task("Title3"`"Description3"`true));" is 138.,59
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.statistics,StatisticsPresenterTest,loadNonEmptyTasksFromRepository_CallViewToDisplay,Magic Number,The method contains a magic number: 2,105
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.taskdetail,TaskDetailActivity,onCreate,Long Statement,The length of the statement "TaskDetailFragment taskDetailFragment=(TaskDetailFragment)getSupportFragmentManager().findFragmentById(R.id.contentFrame);" is 122.,38
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.data,Task,equals,Long Statement,The length of the statement "return Objects.equal(mId`task.mId) && Objects.equal(mTitle`task.mTitle) && Objects.equal(mDescription`task.mDescription);" is 121.,143
52_MVPBasics-master,com.example.android.mvpbasics,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,13
52_MVPBasics-master,com.example.android.mvpbasics,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
52_MVPBasics-master,com.example.android.mvpbasics,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
52_MVPBasics-master,com.example.android.mvpbasics.view,MainActivity,initProgressBar,Long Statement,The length of the statement "RelativeLayout.LayoutParams params=new RelativeLayout.LayoutParams(Resources.getSystem().getDisplayMetrics().widthPixels`250);" is 126.,73
52_MVPBasics-master,com.example.android.mvpbasics.view,MainActivity,initProgressBar,Magic Number,The method contains a magic number: 250,73
52_MVPBasics-master,com.example.android.favoritetoys,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,13
52_MVPBasics-master,com.example.android.favoritetoys,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
52_MVPBasics-master,com.example.android.favoritetoys,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
